ID;TV;radios;diarios;ventas
1;230.10;37.80;69.20;22.10
2;44.50;39.30;45.10;10.40
3;17.20;45.90;69.30;9.30
4;151.50;41.30;58.50;18.50
5;180.80;10.80;58.40;12.90
6;8.70;48.90;75.00;7.20
7;57.50;32.80;23.50;11.80
8;120.20;19.60;11.60;13.20
9;8.60;2.10;1.00;4.80
10;199.80;2.60;21.20;10.60
11;66.10;5.80;24.20;8.60
12;214.70;24.00;4.00;17.40
13;23.80;35.10;65.90;9.20
14;97.50;7.60;7.20;9.70
15;204.10;32.90;46.00;19.00
16;195.40;47.70;52.90;22.40
17;67.80;36.60;114.00;12.50
18;281.40;39.60;55.80;24.40
19;69.20;20.50;18.30;11.30
20;147.30;23.90;19.10;14.60
21;218.40;27.70;53.40;18.00
22;237.40;5.10;23.50;12.50
23;13.20;15.90;49.60;5.60
24;228.30;16.90;26.20;15.50
25;62.30;12.60;18.30;9.70
26;262.90;3.50;19.50;12.00
27;142.90;29.30;12.60;15.00
28;240.10;16.70;22.90;15.90
29;248.80;27.10;22.90;18.90
30;70.60;16.00;40.80;10.50
31;292.90;28.30;43.20;21.40
32;112.90;17.40;38.60;11.90
33;97.20;1.50;30.00;9.60
34;265.60;20.00;0.30;17.40
35;95.70;1.40;7.40;9.50
36;290.70;4.10;8.50;12.80
37;266.90;43.80;5.00;25.40
38;74.70;49.40;45.70;14.70
39;43.10;26.70;35.10;10.10
40;228.00;37.70;32.00;21.50
41;202.50;22.30;31.60;16.60
42;177.00;33.40;38.70;17.10
43;293.60;27.70;1.80;20.70
44;206.90;8.40;26.40;12.90
45;25.10;25.70;43.30;8.50
46;175.10;22.50;31.50;14.90
47;89.70;9.90;35.70;10.60
48;239.90;41.50;18.50;23.20
49;227.20;15.80;49.90;14.80
50;66.90;11.70;36.80;9.70
51;199.80;3.10;34.60;11.40
52;100.40;9.60;3.60;10.70
53;216.40;41.70;39.60;22.60
54;182.60;46.20;58.70;21.20
55;262.70;28.80;15.90;20.20
56;198.90;49.40;60.00;23.70
57;7.30;28.10;41.40;5.50
58;136.20;19.20;16.60;13.20
59;210.80;49.60;37.70;23.80
60;210.70;29.50;9.30;18.40
61;53.50;2.00;21.40;8.10
62;261.30;42.70;54.70;24.20
63;239.30;15.50;27.30;15.70
64;102.70;29.60;8.40;14.00
65;131.10;42.80;28.90;18.00
66;69.00;9.30;0.90;9.30
67;31.50;24.60;2.20;9.50
68;139.30;14.50;10.20;13.40
69;237.40;27.50;11.00;18.90
70;216.80;43.90;27.20;22.30
71;199.10;30.60;38.70;18.30
72;109.80;14.30;31.70;12.40
73;26.80;33.00;19.30;8.80
74;129.40;5.70;31.30;11.00
75;213.40;24.60;13.10;17.00
76;16.90;43.70;89.40;8.70
77;27.50;1.60;20.70;6.90
78;120.50;28.50;14.20;14.20
79;5.40;29.90;9.40;5.30
80;116.00;7.70;23.10;11.00
81;76.40;26.70;22.30;11.80
82;239.80;4.10;36.90;12.30
83;75.30;20.30;32.50;11.30
84;68.40;44.50;35.60;13.60
85;213.50;43.00;33.80;21.70
86;193.20;18.40;65.70;15.20
87;76.30;27.50;16.00;12.00
88;110.70;40.60;63.20;16.00
89;88.30;25.50;73.40;12.90
90;109.80;47.80;51.40;16.70
91;134.30;4.90;9.30;11.20
92;28.60;1.50;33.00;7.30
93;217.70;33.50;59.00;19.40
94;250.90;36.50;72.30;22.20
95;107.40;14.00;10.90;11.50
96;163.30;31.60;52.90;16.90
97;197.60;3.50;5.90;11.70
98;184.90;21.00;22.00;15.50
99;289.70;42.30;51.20;25.40
100;135.20;41.70;45.90;17.20
101;222.40;4.30;49.80;11.70
102;296.40;36.30;100.90;23.80
103;280.20;10.10;21.40;14.80
104;187.90;17.20;17.90;14.70
105;238.20;34.30;5.30;20.70
106;137.90;46.40;59.00;19.20
